segment_id	audio_filepath	duration	snr_db	vad_ratio	text_raw	text_clean	word_count	speaker_id
waxal_asr_4d7e6a925ca340e08b5b632a214a8ae9	data/fulfulde_run/audio/waxal_asr_4d7e6a925ca340e08b5b632a214a8ae9.wav	10.724	50.28	0.67	Ɓe ngaɗi gaari koddeeri ɓe ngaddi, o heenti dow, o wooɓi koroy tatoy o acci.	ɓe ngaɗi gaari koddeeri ɓe ngaddi o heenti dow o wooɓi koroy tatoy o acci	15	unknown
waxal_asr_eeebd7d91dc14e47992d9b67f9ac20b6	data/fulfulde_run/audio/waxal_asr_eeebd7d91dc14e47992d9b67f9ac20b6.wav	15.043	47.78	0.81	Debbo jaɓi maayɗo dasi guguguy ɓaaroyi, o yehi o wujjoyi goɗɗo o wari o tappani debbo jaɓi, o tuurti o wujjoyi o waddani debbo jaɓi.	debbo jaɓi maayɗo dasi guguguy ɓaaroyi o yehi o wujjoyi goɗɗo o wari o tappani debbo jaɓi o tuurti o wujjoyi o waddani debbo jaɓi	25	unknown
waxal_asr_f0bd79261a0641419b8ea098ad9416e6	data/fulfulde_run/audio/waxal_asr_f0bd79261a0641419b8ea098ad9416e6.wav	4.536	26.05	0.95	Jam, maccuɓe laamɗo ɗon liina mo nyiiri gal gaɗa mahol.	jam maccuɓe laamɗo ɗon liina mo nyiiri gal gaɗa mahol	10	unknown
waxal_asr_e233878f67674b8192a975269db26059	data/fulfulde_run/audio/waxal_asr_e233878f67674b8192a975269db26059.wav	5.744	51.0	0.81	to a yiɗi a defi, to naa non boo to a yiɗi a acci;	to a yiɗi a defi to naa non boo to a yiɗi a acci	14	unknown
waxal_asr_caa898a606114c0d83d147cbf399cb64	data/fulfulde_run/audio/waxal_asr_caa898a606114c0d83d147cbf399cb64.wav	5.215	35.56	0.9	O wii mo bamɗe, be’i, walaa ko o wi’aay mo, fuu o sali;	o wii mo bamɗe be i walaa ko o wi aay mo fuu o sali	15	unknown
waxal_asr_2501e56c696645f19b9d9ad583c8ea22	data/fulfulde_run/audio/waxal_asr_2501e56c696645f19b9d9ad583c8ea22.wav	15.048	51.07	0.75	kanko o wii bisimilla : en haɓ dabare wargo mo. E no mbardeten mo o ummo o nyaama en? Ndikka njawtinen nyaameego.	kanko o wii bisimilla en haɓ dabare wargo mo e no mbardeten mo o ummo o nyaama en ndikka njawtinen nyaameego	21	unknown
waxal_asr_9cb570615ede411bac0a044ad7b6e8aa	data/fulfulde_run/audio/waxal_asr_9cb570615ede411bac0a044ad7b6e8aa.wav	4.523	48.39	0.82	o ɗon suɓta, hamman ɗon taada Mbuulu muuɗum.	o ɗon suɓta hamman ɗon taada mbuulu muuɗum	8	unknown
waxal_asr_087a6e8a04f34e858ed789b95b1e7e7c	data/fulfulde_run/audio/waxal_asr_087a6e8a04f34e858ed789b95b1e7e7c.wav	14.086	47.73	0.8	Pucci baaba maako jeeɗiɗi, o wa’’o beembal, ɓe mba’’o, horɓe mba’’o beembal nokka gawri ndefana nguu mudooje jeeɗiɗi-jeeɗiɗi.	pucci baaba maako jeeɗiɗi o wa o beembal ɓe mba o horɓe mba o beembal nokka gawri ndefana nguu mudooje jeeɗiɗi-jeeɗiɗi	21	unknown
waxal_asr_3dd68b1be9f14eea93aafa16d779bf11	data/fulfulde_run/audio/waxal_asr_3dd68b1be9f14eea93aafa16d779bf11.wav	2.7	52.84	0.8	Damaseere maayi ngaraa.	damaseere maayi ngaraa	3	unknown
waxal_asr_baf4150698544a3684c109dc7f1c309b	data/fulfulde_run/audio/waxal_asr_baf4150698544a3684c109dc7f1c309b.wav	7.47	44.18	0.86	o nasti suudu kisin non, Hamman hiili mo fisti Mbuulu, fisti, Mbuulu ruggi ɗum,	o nasti suudu kisin non hamman hiili mo fisti mbuulu fisti mbuulu ruggi ɗum	14	unknown
waxal_asr_ac7b15a6761b4817bcb1a9345dba32af	data/fulfulde_run/audio/waxal_asr_ac7b15a6761b4817bcb1a9345dba32af.wav	14.693	51.05	0.71	jam o wii mo : yah, janngo weeti fajira boo wii mo yah layɓoy, o fawi kuuje goo fuu o hokki mo, o roondi, o tokki laawol,	jam o wii mo yah janngo weeti fajira boo wii mo yah layɓoy o fawi kuuje goo fuu o hokki mo o roondi o tokki laawol	26	unknown
waxal_asr_436e4ae8127643908aefbc69187842e5	data/fulfulde_run/audio/waxal_asr_436e4ae8127643908aefbc69187842e5.wav	5.284	50.4	0.83	Buuworɗi ɓaleeji guma; Buuworɗi daneeji guma;	buuworɗi ɓaleeji guma buuworɗi daneeji guma	6	unknown
waxal_asr_d316e3b4f237480e92b77fcacc217ca6	data/fulfulde_run/audio/waxal_asr_d316e3b4f237480e92b77fcacc217ca6.wav	8.422	49.76	0.7	Ɓiira o yaali maayo ngo juuyataa maapinndiiwo, ngo o saal no goo.	ɓiira o yaali maayo ngo juuyataa maapinndiiwo ngo o saal no goo	12	unknown
waxal_asr_cb49d30df6d84dec82dfba436f5da329	data/fulfulde_run/audio/waxal_asr_cb49d30df6d84dec82dfba436f5da329.wav	9.22	48.36	0.77	maako, mo ɗon ƴakka gooro maako bee goronngo maako yigga les puru goo.	maako mo ɗon ƴakka gooro maako bee goronngo maako yigga les puru goo	13	unknown
waxal_asr_c7305653da744b40a33a9e56a0052e47	data/fulfulde_run/audio/waxal_asr_c7305653da744b40a33a9e56a0052e47.wav	7.878	47.43	0.81	Nasti nder ndiyam, dasi nasti nii, derke’en goo ndoondi ngarti e mbooka.	nasti nder ndiyam dasi nasti nii derke en goo ndoondi ngarti e mbooka	13	unknown
waxal_asr_5f5725ad8f6448e3975a0dd0a2cf5b04	data/fulfulde_run/audio/waxal_asr_5f5725ad8f6448e3975a0dd0a2cf5b04.wav	6.883	48.17	0.82	Kuuje goo ɓe cokki, ɓe cokki, ɓe cokki nder suudu walaa e kuuje goo njooɗo.	kuuje goo ɓe cokki ɓe cokki ɓe cokki nder suudu walaa e kuuje goo njooɗo	15	unknown
waxal_asr_aaf0b205eb504781bdc5fe140565d7f4	data/fulfulde_run/audio/waxal_asr_aaf0b205eb504781bdc5fe140565d7f4.wav	11.071	47.53	0.84	naa ɗon haa ɓe njehi wuro maɓɓe. Ɓe ngari ɓe njippini ɓe, jawro maɓɓe bee lekki; lekki kii ni dammugal jawro maɓɓe.	naa ɗon haa ɓe njehi wuro maɓɓe ɓe ngari ɓe njippini ɓe jawro maɓɓe bee lekki lekki kii ni dammugal jawro maɓɓe	22	unknown
waxal_asr_a2a04a5a9af64c769324d189a0224fc1	data/fulfulde_run/audio/waxal_asr_a2a04a5a9af64c769324d189a0224fc1.wav	6.18	39.99	0.85	Jam, goriiko ummi jooɗi, ɓe caanidiri, jam yimɓe goo cankiti.	jam goriiko ummi jooɗi ɓe caanidiri jam yimɓe goo cankiti	10	unknown
waxal_asr_a3e8257233d24b6398c6e51d67820bd2	data/fulfulde_run/audio/waxal_asr_a3e8257233d24b6398c6e51d67820bd2.wav	13.253	51.37	0.76	ɓe kersa mboodi waa’a ba naane, wurguure heewa, ɓe ɗon kaɓa, ɓe ɗon kaɓa nii haa haa haa haa naange warti juura,	ɓe kersa mboodi waa a ba naane wurguure heewa ɓe ɗon kaɓa ɓe ɗon kaɓa nii haa haa haa haa naange warti juura	23	unknown
waxal_asr_1d9f4a55edbc460892fed3258f120234	data/fulfulde_run/audio/waxal_asr_1d9f4a55edbc460892fed3258f120234.wav	7.154	28.88	0.91	Ndee kam, o yehi haa o jaɓa nyiiri nii non non, wurre maako itti ɓe ndaari reedu goo.	ndee kam o yehi haa o jaɓa nyiiri nii non non wurre maako itti ɓe ndaari reedu goo	18	unknown
waxal_asr_decfcc3271a94dbb9f82ae145ddcf09e	data/fulfulde_run/audio/waxal_asr_decfcc3271a94dbb9f82ae145ddcf09e.wav	4.02	48.61	0.82	Jam, ɓiira ɓe koo’i ɓe ndokki mo laamɗo goo,	jam ɓiira ɓe koo i ɓe ndokki mo laamɗo goo	10	unknown
waxal_asr_437e7cf16cbf4112bd8ddaac0207ec4d	data/fulfulde_run/audio/waxal_asr_437e7cf16cbf4112bd8ddaac0207ec4d.wav	3.843	36.67	0.9	Miin kam mi yiɗaa ma, ngam dala maaɗa wooɗaa;	miin kam mi yiɗaa ma ngam dala maaɗa wooɗaa	9	unknown
waxal_asr_7e9831c9df73433db836a256062024b9	data/fulfulde_run/audio/waxal_asr_7e9831c9df73433db836a256062024b9.wav	2.1	42.49	0.81	sike hunnde nde;	sike hunnde nde	3	unknown
waxal_asr_a331ab5e024c4f859802779afb0adfa6	data/fulfulde_run/audio/waxal_asr_a331ab5e024c4f859802779afb0adfa6.wav	11.551	47.34	0.84	Ɓe puufi luwel, ɓe mooɓti, nyaamuri’en pat mooɓti ndilli ladde haa teenoya leɗɗe, ngaroya ngula ɓe kadi nyaama.	ɓe puufi luwel ɓe mooɓti nyaamuri en pat mooɓti ndilli ladde haa teenoya leɗɗe ngaroya ngula ɓe kadi nyaama	19	unknown
waxal_asr_aa600828c6a04f338458f79efe62e47c	data/fulfulde_run/audio/waxal_asr_aa600828c6a04f338458f79efe62e47c.wav	2.76	55.2	0.54	O maɓɓi saare goo.	o maɓɓi saare goo	4	unknown
waxal_asr_80a6f4535708446f8a05bcba71f7c113	data/fulfulde_run/audio/waxal_asr_80a6f4535708446f8a05bcba71f7c113.wav	3.18	50.1	0.8	Suy gorko goo ummi yamɗiti.	suy gorko goo ummi yamɗiti	5	unknown
waxal_asr_c8b48a3d192b407bbf7e41ef6ade4b3a	data/fulfulde_run/audio/waxal_asr_c8b48a3d192b407bbf7e41ef6ade4b3a.wav	5.82	52.02	0.73	O ɗon yaha, o ɗon yaha, kooko o anndi boo dow duniya.	o ɗon yaha o ɗon yaha kooko o anndi boo dow duniya	12	unknown
waxal_asr_843b7565f6d64c51ac901b538be91a27	data/fulfulde_run/audio/waxal_asr_843b7565f6d64c51ac901b538be91a27.wav	8.072	50.72	0.81	Wamnde nyaami haari do’’i waati. Jigaaje nyaami kaari leerani duule.	wamnde nyaami haari do i waati jigaaje nyaami kaari leerani duule	11	unknown
waxal_asr_bca223980d414463a8a0f8db3069dd83	data/fulfulde_run/audio/waxal_asr_bca223980d414463a8a0f8db3069dd83.wav	8.93	38.52	0.9	O wii yoo debbo maako goo boo sey wadda, o wii : ayyee mi debbo laamɗo nii sey mi wara nder yimɓe?	o wii yoo debbo maako goo boo sey wadda o wii ayyee mi debbo laamɗo nii sey mi wara nder yimɓe	21	unknown
waxal_asr_566486d4947b45369b76396d23a59c10	data/fulfulde_run/audio/waxal_asr_566486d4947b45369b76396d23a59c10.wav	5.487	40.0	0.87	Gertogal haɓɓere mum haa ɗaajoro fetere nyiiri bee kosam.	gertogal haɓɓere mum haa ɗaajoro fetere nyiiri bee kosam	9	unknown
waxal_asr_adcdead24d1e4bffbf641924503b8a31	data/fulfulde_run/audio/waxal_asr_adcdead24d1e4bffbf641924503b8a31.wav	12.825	46.13	0.85	Kanngel boo yiɗi nyeɗoygo bee ɓikkoy yerimahoy, ɓikkoy yerimaahoy boo, ngele fuu nyiddungel non, ɗon fooɗi hunnduko non bana dutal;	kanngel boo yiɗi nyeɗoygo bee ɓikkoy yerimahoy ɓikkoy yerimaahoy boo ngele fuu nyiddungel non ɗon fooɗi hunnduko non bana dutal	20	unknown
waxal_asr_39a5e2b6c18548f7a0c674fa7215552d	data/fulfulde_run/audio/waxal_asr_39a5e2b6c18548f7a0c674fa7215552d.wav	6.66	51.25	0.73	Cuuɗi caalake, dakkaaji ɗoofake : Hamma min ndillidi;	cuuɗi caalake dakkaaji ɗoofake hamma min ndillidi	7	unknown
waxal_asr_8fd4ffa3f00443dfaa84964f63136a89	data/fulfulde_run/audio/waxal_asr_8fd4ffa3f00443dfaa84964f63136a89.wav	2.031	47.82	0.61	yah waddoy ɗe.	yah waddoy ɗe	3	unknown
waxal_asr_f5c06413963b439faedd688b1e815937	data/fulfulde_run/audio/waxal_asr_f5c06413963b439faedd688b1e815937.wav	9.218	51.5	0.82	Booɗɗum walaa ayiibe, janngo ɗoo wamirde ɗon waɗa haa gaɗa-maayo en njahtaa en laara naa?	booɗɗum walaa ayiibe janngo ɗoo wamirde ɗon waɗa haa gaɗa-maayo en njahtaa en laara naa	15	unknown
waxal_asr_17c9eba2ab124767904b861468bc3739	data/fulfulde_run/audio/waxal_asr_17c9eba2ab124767904b861468bc3739.wav	9.907	45.59	0.69	O dilli kad doo, nga yehi nga jooɗi dow suudu daada ban nii : daada Damaseere kumaa;	o dilli kad doo nga yehi nga jooɗi dow suudu daada ban nii daada damaseere kumaa	16	unknown
waxal_asr_d6dc39696136442b870d879655467100	data/fulfulde_run/audio/waxal_asr_d6dc39696136442b870d879655467100.wav	3.6	55.38	0.7	mo tuuɗe aleewa ngarmi laargo;	mo tuuɗe aleewa ngarmi laargo	5	unknown
waxal_asr_fcc9b95dac9843e5bc16aeab1e561c11	data/fulfulde_run/audio/waxal_asr_fcc9b95dac9843e5bc16aeab1e561c11.wav	8.25	51.87	0.86	Ɓe njehi ladde, nder ladde ɓe tawoyi coofol maapinndiwol bee jaɓɓi, o wa’’i dow ton.	ɓe njehi ladde nder ladde ɓe tawoyi coofol maapinndiwol bee jaɓɓi o wa i dow ton	16	unknown
waxal_asr_b672c194854a43b0be89b5089699bfd7	data/fulfulde_run/audio/waxal_asr_b672c194854a43b0be89b5089699bfd7.wav	4.732	41.69	0.87	mbamnga nyaama haara waatonoya harde;	mbamnga nyaama haara waatonoya harde	5	unknown
waxal_asr_0ecbe5361121461698804822a9b33c43	data/fulfulde_run/audio/waxal_asr_0ecbe5361121461698804822a9b33c43.wav	6.219	45.84	0.88	subbanammi jaaral haa mi yuwa noorwa; noorwa moɗi Kennderel.	subbanammi jaaral haa mi yuwa noorwa noorwa moɗi kennderel	9	unknown
waxal_asr_ee5e6aa725a34fcd912b5ab989e88956	data/fulfulde_run/audio/waxal_asr_ee5e6aa725a34fcd912b5ab989e88956.wav	2.1	53.88	0.49	jiire wii :	jiire wii	2	unknown
waxal_asr_686a7e64639a4b6c853434e5fadfc68f	data/fulfulde_run/audio/waxal_asr_686a7e64639a4b6c853434e5fadfc68f.wav	2.417	47.53	0.86	Ngol timmi, haaɗi;	ngol timmi haaɗi	3	unknown
waxal_asr_d84efefe882c4caca11d58ea94a4e8af	data/fulfulde_run/audio/waxal_asr_d84efefe882c4caca11d58ea94a4e8af.wav	10.699	47.69	0.8	Jam, haa ɓe njaɓa mo, haa ɓiira o mooɓti yimɓe, ɓiira o yoɓi mo jawdi baaba maako goo kam pat o yobdi.	jam haa ɓe njaɓa mo haa ɓiira o mooɓti yimɓe ɓiira o yoɓi mo jawdi baaba maako goo kam pat o yobdi	22	unknown
waxal_asr_2409102dbf79451ca0cbf5ac370d5099	data/fulfulde_run/audio/waxal_asr_2409102dbf79451ca0cbf5ac370d5099.wav	6.78	53.52	0.7	Ɓe mbii booɗɗum : en kumpititto to o debbo, to naa o gorko.	ɓe mbii booɗɗum en kumpititto to o debbo to naa o gorko	12	unknown
waxal_asr_427f97760a2f47aa8efd55dddf093d53	data/fulfulde_run/audio/waxal_asr_427f97760a2f47aa8efd55dddf093d53.wav	11.166	49.87	0.81	O yehi o tawi Sammbo ɗon jooɗi jogi jaɓɓel. Jam : Sammbo hokkitam jalɓel am, to a yiɗi mi hokkite fistam;	o yehi o tawi sammbo ɗon jooɗi jogi jaɓɓel jam sammbo hokkitam jalɓel am to a yiɗi mi hokkite fistam	20	unknown
waxal_asr_4a6ec4a9bf0a4406a9dfc1088a8c49cf	data/fulfulde_run/audio/waxal_asr_4a6ec4a9bf0a4406a9dfc1088a8c49cf.wav	4.021	49.7	0.84	waande e teddugo mum nii mi fuutataa?	waande e teddugo mum nii mi fuutataa	7	unknown
waxal_asr_73a8e2715bf744c1a923ea5a26e943ef	data/fulfulde_run/audio/waxal_asr_73a8e2715bf744c1a923ea5a26e943ef.wav	2.76	39.21	0.78	Damaseere ɓesni ngaraa.	damaseere ɓesni ngaraa	3	unknown
waxal_asr_fe609c1eabc54337b64fc348d2766072	data/fulfulde_run/audio/waxal_asr_fe609c1eabc54337b64fc348d2766072.wav	8.022	47.92	0.79	Jam, yimɓe goo ɗon ngara, moy fuu warda bee gorko mum bee ndiyam e juldude.	jam yimɓe goo ɗon ngara moy fuu warda bee gorko mum bee ndiyam e juldude	15	unknown
waxal_asr_096e1e7157af40d993c7666c750378ba	data/fulfulde_run/audio/waxal_asr_096e1e7157af40d993c7666c750378ba.wav	13.14	50.71	0.8	kadi boo o wii : eftu, eftu, debbo efti, haa yaara e hoore non wii : to mi roondi ma ko ndokkataami, jo’’in, jo’’in, debbo jo’’ini.	kadi boo o wii eftu eftu debbo efti haa yaara e hoore non wii to mi roondi ma ko ndokkataami jo in jo in debbo jo ini	27	unknown
waxal_asr_060805d2302e4e399ed54112fc76c2f9	data/fulfulde_run/audio/waxal_asr_060805d2302e4e399ed54112fc76c2f9.wav	4.279	47.77	0.82	baaba goo wari, nasti  wii mo : umma, o ummi.	baaba goo wari nasti wii mo umma o ummi	9	unknown
waxal_asr_c19fe2f021cc43e1a99ec1d6728bc697	data/fulfulde_run/audio/waxal_asr_c19fe2f021cc43e1a99ec1d6728bc697.wav	3.72	51.78	0.75	Jam, ɓinngel goo nyeɗi ndiyam, huuci.	jam ɓinngel goo nyeɗi ndiyam huuci	6	unknown
waxal_asr_b0d501f4509c4c29a6d4093d28042e33	data/fulfulde_run/audio/waxal_asr_b0d501f4509c4c29a6d4093d28042e33.wav	6.272	45.48	0.82	ih naa mi nelno mo haa o nyeɗa ndiyam bee derke’en, ɗum waɗi mo?	ih naa mi nelno mo haa o nyeɗa ndiyam bee derke en ɗum waɗi mo	15	unknown
waxal_asr_9e4eb59c6b394374a89b7cc248f9f42c	data/fulfulde_run/audio/waxal_asr_9e4eb59c6b394374a89b7cc248f9f42c.wav	7.383	49.6	0.84	ɓiira ɓe caali fawww ɓe nasti maral baaba maako, ɓe mbii : naa o daɗi, o daɗi.	ɓiira ɓe caali fawww ɓe nasti maral baaba maako ɓe mbii naa o daɗi o daɗi	16	unknown
waxal_asr_c2074d5cfcfc40ad80fbf26d0c1ccd88	data/fulfulde_run/audio/waxal_asr_c2074d5cfcfc40ad80fbf26d0c1ccd88.wav	8.439	33.14	0.95	o fisti Mbuulu kam wa’’i, Mbuulu kam tiiti haa ladde nyaamuri’en, tiiti gal nyaamuri en ɗon dogga,	o fisti mbuulu kam wa i mbuulu kam tiiti haa ladde nyaamuri en tiiti gal nyaamuri en ɗon dogga	19	unknown
waxal_asr_e51203eabbab4085a7902f9dc0a3e0fa	data/fulfulde_run/audio/waxal_asr_e51203eabbab4085a7902f9dc0a3e0fa.wav	5.34	42.53	0.7	ɓe metto hunnde ɗoo goo, ɓe ƴakka kusel goo,	ɓe metto hunnde ɗoo goo ɓe ƴakka kusel goo	9	unknown
waxal_asr_125d0b36c53240f18c1a7a482b763264	data/fulfulde_run/audio/waxal_asr_125d0b36c53240f18c1a7a482b763264.wav	3.42	48.42	0.69	miin kam ɓe nyaamataa yam kam.	miin kam ɓe nyaamataa yam kam	6	unknown
waxal_asr_4e53e93dd155483a96c57be0bf1b91d9	data/fulfulde_run/audio/waxal_asr_4e53e93dd155483a96c57be0bf1b91d9.wav	13.273	51.73	0.76	Adda goo, nyalde nde ɗoo o wi’a ɗum : adda mi wara nge’e boo, mi seeka ɗum reedu mi laara, adda wii : to a seeki ko njareten?	adda goo nyalde nde ɗoo o wi a ɗum adda mi wara nge e boo mi seeka ɗum reedu mi laara adda wii to a seeki ko njareten	28	unknown
waxal_asr_e276a52148d14c5f84af75c0ccd1d96e	data/fulfulde_run/audio/waxal_asr_e276a52148d14c5f84af75c0ccd1d96e.wav	6.66	50.14	0.79	Laamɗo hooci adda wii ɓaŋi adda kam, laamɗo kam mari adda kadi.	laamɗo hooci adda wii ɓaŋi adda kam laamɗo kam mari adda kadi	12	unknown
waxal_asr_e0c98c84e28d43d8a410dbaf09889232	data/fulfulde_run/audio/waxal_asr_e0c98c84e28d43d8a410dbaf09889232.wav	7.11	43.63	0.87	Nde o faandi yimɓe nii, ɓinngel goo fuɗɗiti : Asta nduunya moɗi yam mi geeto;	nde o faandi yimɓe nii ɓinngel goo fuɗɗiti asta nduunya moɗi yam mi geeto	14	unknown
waxal_asr_1d8887cd5f824dfc90017d86c22c508e	data/fulfulde_run/audio/waxal_asr_1d8887cd5f824dfc90017d86c22c508e.wav	5.2	41.64	0.92	Haa wuro ɗoo kam naa jonta kam naa sakje ɓe mba’’tirta;	haa wuro ɗoo kam naa jonta kam naa sakje ɓe mba tirta	12	unknown
waxal_asr_05fce20a3daa4f779a9971d9a7c3a6dd	data/fulfulde_run/audio/waxal_asr_05fce20a3daa4f779a9971d9a7c3a6dd.wav	2.819	46.01	0.8	Barkaama o danyi gorko boo.	barkaama o danyi gorko boo	5	unknown
waxal_asr_af665cee0d324f2f9b1a5eaae0fffbb1	data/fulfulde_run/audio/waxal_asr_af665cee0d324f2f9b1a5eaae0fffbb1.wav	2.7	50.59	0.74	mo tawi ba ɓoyi ma weli;	mo tawi ba ɓoyi ma weli	6	unknown
waxal_asr_cb9fb1f7097c4c1d93139776413c0b3b	data/fulfulde_run/audio/waxal_asr_cb9fb1f7097c4c1d93139776413c0b3b.wav	2.317	44.52	0.78	Ɗum waɗan nduuɓu naa?	ɗum waɗan nduuɓu naa	4	unknown
waxal_asr_40fbb824e2044d7089fc160ec717e0c7	data/fulfulde_run/audio/waxal_asr_40fbb824e2044d7089fc160ec717e0c7.wav	2.309	59.36	0.75	Halleende yaadikko	halleende yaadikko	2	unknown
waxal_asr_5b95f22790c54d95b61f2aa86de2e171	data/fulfulde_run/audio/waxal_asr_5b95f22790c54d95b61f2aa86de2e171.wav	3.812	50.3	0.81	Ɓe ɗon ewno noorwa jey paha ɗoo kadi :	ɓe ɗon ewno noorwa jey paha ɗoo kadi	8	unknown
waxal_asr_855156894c3b47729836b45ad624d0eb	data/fulfulde_run/audio/waxal_asr_855156894c3b47729836b45ad624d0eb.wav	2.626	33.63	0.92	Neldimmi sotollo guma,	neldimmi sotollo guma	3	unknown
waxal_asr_5dc052ff67e8447c8d4143690278fbbc	data/fulfulde_run/audio/waxal_asr_5dc052ff67e8447c8d4143690278fbbc.wav	3.125	47.31	0.72	jigaaje nyaama kaara;	jigaaje nyaama kaara	3	unknown
waxal_asr_32f867432ce44ec580dba28a76bb00d0	data/fulfulde_run/audio/waxal_asr_32f867432ce44ec580dba28a76bb00d0.wav	5.4	50.28	0.71	Naa a dullu wirɓe, oo taɓɓito, oo taɓɓito.	naa a dullu wirɓe oo taɓɓito oo taɓɓito	8	unknown
waxal_asr_19a7984b7d8e48ddba4795a32674855d	data/fulfulde_run/audio/waxal_asr_19a7984b7d8e48ddba4795a32674855d.wav	16.442	53.36	0.73	mi yiɗi daygo, useni tinndinam no ɓe ndayrata, yoo wooɗi, coodaa leeɓol jur kebbina payangel, dey dey nyalɗe tati, nayaɓre man a tawan ɓinngel;	mi yiɗi daygo useni tinndinam no ɓe ndayrata yoo wooɗi coodaa leeɓol jur kebbina payangel dey dey nyalɗe tati nayaɓre man a tawan ɓinngel	24	unknown
waxal_asr_e6ece9f6ef3b4cb1ab84411ff186332b	data/fulfulde_run/audio/waxal_asr_e6ece9f6ef3b4cb1ab84411ff186332b.wav	14.795	36.41	0.89	ɓikkoy saare laamɗo ngari, o hoo’i kaŋŋeeri o hokki ɓikkoy goo, ɓikkoy goo ɗon njogi njehi nder saare laamɗo : moy hokki on, moy hokki on, minin kam debbo kuturuujo ɗoo hokki min.	ɓikkoy saare laamɗo ngari o hoo i kaŋŋeeri o hokki ɓikkoy goo ɓikkoy goo ɗon njogi njehi nder saare laamɗo moy hokki on moy hokki on minin kam debbo kuturuujo ɗoo hokki min	33	unknown
